name,category,subcategory,text_to_embed
Aluminum,Metal,Non-Ferrous,Material Name: Aluminum. Category: Metal. Subcategory: Non-Ferrous. Formula: Al. Density: 2.7 g/cm3. Melting Point: 933.0 °C. Boiling Point: 2792.0. Thermal Conductivity: 237.0 W/m·K. Specific Heat: 897.0. Thermal Expansion: 23.1. Electrical Resistivity: 2.65e-08. Yield Strength: 35.0 MPa. Tensile Strength: 90.0 MPa. Youngs Modulus: 70.0 GPa. Hardness Vickers: 17.0. Poissons Ratio: 0.33.
Copper,Metal,Non-Ferrous,Material Name: Copper. Category: Metal. Subcategory: Non-Ferrous. Formula: Cu. Density: 8.96 g/cm3. Melting Point: 1358.0 °C. Boiling Point: 2835.0. Thermal Conductivity: 401.0 W/m·K. Specific Heat: 385.0. Thermal Expansion: 16.5. Electrical Resistivity: 1.68e-08. Yield Strength: 70.0 MPa. Tensile Strength: 220.0 MPa. Youngs Modulus: 120.0 GPa. Hardness Vickers: 35.0. Poissons Ratio: 0.34. Processing Temp Min C: 300.0. Processing Temp Max C: 400.0. Fracture Toughness: 30.0.
Iron,Metal,Ferrous,Material Name: Iron. Category: Metal. Subcategory: Ferrous. Formula: Fe. Density: 7.87 g/cm3. Melting Point: 1811.0 °C. Boiling Point: 3134.0. Thermal Conductivity: 80.0 W/m·K. Specific Heat: 449.0. Thermal Expansion: 11.8. Electrical Resistivity: 9.71e-08. Yield Strength: 80.0 MPa. Tensile Strength: 400.0 MPa. Youngs Modulus: 211.0 GPa. Hardness Vickers: 60.0. Poissons Ratio: 0.29. Processing Temp Min C: 850.0. Processing Temp Max C: 1050.0. Fracture Toughness: 6.0.
Titanium,Metal,Non-Ferrous,Material Name: Titanium. Category: Metal. Subcategory: Non-Ferrous. Formula: Ti. Density: 4.51 g/cm3. Melting Point: 1941.0 °C. Boiling Point: 3560.0. Thermal Conductivity: 21.9 W/m·K. Specific Heat: 520.0. Thermal Expansion: 8.6. Electrical Resistivity: 4.2e-07. Yield Strength: 140.0 MPa. Tensile Strength: 220.0 MPa. Youngs Modulus: 116.0 GPa. Hardness Vickers: 70.0. Poissons Ratio: 0.32. Processing Temp Min C: 800.0. Processing Temp Max C: 1000.0. Fracture Toughness: 3.5.
Nickel,Metal,Non-Ferrous,Material Name: Nickel. Category: Metal. Subcategory: Non-Ferrous. Formula: Ni. Density: 8.91 g/cm3. Melting Point: 1728.0 °C. Boiling Point: 3003.0. Thermal Conductivity: 91.0 W/m·K. Specific Heat: 444.0. Thermal Expansion: 13.4. Electrical Resistivity: 6.99e-08. Yield Strength: 59.0 MPa. Tensile Strength: 317.0 MPa. Youngs Modulus: 200.0 GPa. Hardness Vickers: 64.0. Poissons Ratio: 0.31.
Zinc,Metal,Non-Ferrous,Material Name: Zinc. Category: Metal. Subcategory: Non-Ferrous. Formula: Zn. Density: 7.13 g/cm3. Melting Point: 693.0 °C. Boiling Point: 1180.0. Thermal Conductivity: 116.0 W/m·K. Specific Heat: 388.0. Thermal Expansion: 30.2. Electrical Resistivity: 5.96e-08. Yield Strength: 37.0 MPa. Tensile Strength: 100.0 MPa. Youngs Modulus: 108.0 GPa. Hardness Vickers: 30.0. Poissons Ratio: 0.25.
Lead,Metal,Non-Ferrous,Material Name: Lead. Category: Metal. Subcategory: Non-Ferrous. Formula: Pb. Density: 11.34 g/cm3. Melting Point: 601.0 °C. Boiling Point: 2022.0. Thermal Conductivity: 35.3 W/m·K. Specific Heat: 128.0. Thermal Expansion: 28.9. Electrical Resistivity: 2.08e-07. Yield Strength: 11.0 MPa. Tensile Strength: 17.0 MPa. Youngs Modulus: 16.0 GPa. Hardness Vickers: 5.0. Poissons Ratio: 0.44.
Magnesium,Metal,Non-Ferrous,Material Name: Magnesium. Category: Metal. Subcategory: Non-Ferrous. Formula: Mg. Density: 1.74 g/cm3. Melting Point: 923.0 °C. Boiling Point: 1363.0. Thermal Conductivity: 156.0 W/m·K. Specific Heat: 1020.0. Thermal Expansion: 25.2. Electrical Resistivity: 4.39e-08. Yield Strength: 20.0 MPa. Tensile Strength: 165.0 MPa. Youngs Modulus: 45.0 GPa. Hardness Vickers: 30.0. Poissons Ratio: 0.29.
Silver,Metal,Precious,Material Name: Silver. Category: Metal. Subcategory: Precious. Formula: Ag. Density: 10.49 g/cm3. Melting Point: 1235.0 °C. Boiling Point: 2435.0. Thermal Conductivity: 429.0 W/m·K. Specific Heat: 235.0. Thermal Expansion: 18.9. Electrical Resistivity: 1.59e-08. Yield Strength: 55.0 MPa. Tensile Strength: 170.0 MPa. Youngs Modulus: 83.0 GPa. Hardness Vickers: 25.0. Poissons Ratio: 0.37.
Gold,Metal,Precious,Material Name: Gold. Category: Metal. Subcategory: Precious. Formula: Au. Density: 19.32 g/cm3. Melting Point: 1337.0 °C. Boiling Point: 3129.0. Thermal Conductivity: 318.0 W/m·K. Specific Heat: 129.0. Thermal Expansion: 14.2. Electrical Resistivity: 2.44e-08. Yield Strength: 100.0 MPa. Tensile Strength: 120.0 MPa. Youngs Modulus: 79.0 GPa. Hardness Vickers: 25.0. Poissons Ratio: 0.44.
Chromium,Metal,Refractory,Material Name: Chromium. Category: Metal. Subcategory: Refractory. Formula: Cr. Density: 7.19 g/cm3. Melting Point: 2180.0 °C. Boiling Point: 2944.0. Thermal Conductivity: 94.0 W/m·K. Specific Heat: 449.0. Thermal Expansion: 4.9. Electrical Resistivity: 1.25e-07. Yield Strength: 279.0 MPa. Tensile Strength: 418.0 MPa. Youngs Modulus: 248.0 GPa. Hardness Vickers: 1060.0. Poissons Ratio: 0.21.
Tungsten,Metal,Refractory,Material Name: Tungsten. Category: Metal. Subcategory: Refractory. Formula: W. Density: 19.25 g/cm3. Melting Point: 3695.0 °C. Boiling Point: 5828.0. Thermal Conductivity: 173.0 W/m·K. Specific Heat: 134.0. Thermal Expansion: 4.5. Electrical Resistivity: 5.28e-08. Yield Strength: 750.0 MPa. Tensile Strength: 1500.0 MPa. Youngs Modulus: 411.0 GPa. Hardness Vickers: 360.0. Poissons Ratio: 0.28. Processing Temp Min C: 1500.0. Processing Temp Max C: 1800.0. Fracture Toughness: 200.0.
Molybdenum,Metal,Refractory,Material Name: Molybdenum. Category: Metal. Subcategory: Refractory. Formula: Mo. Density: 10.28 g/cm3. Melting Point: 2896.0 °C. Boiling Point: 4912.0. Thermal Conductivity: 138.0 W/m·K. Specific Heat: 251.0. Thermal Expansion: 4.8. Electrical Resistivity: 5.34e-08. Yield Strength: 324.0 MPa. Tensile Strength: 630.0 MPa. Youngs Modulus: 329.0 GPa. Hardness Vickers: 230.0. Poissons Ratio: 0.31. Processing Temp Min C: 1200.0. Processing Temp Max C: 1500.0. Fracture Toughness: 180.0.
Platinum,Metal,Precious,Material Name: Platinum. Category: Metal. Subcategory: Precious. Formula: Pt. Density: 21.45 g/cm3. Melting Point: 2041.0 °C. Boiling Point: 4098.0. Thermal Conductivity: 72.0 W/m·K. Specific Heat: 133.0. Thermal Expansion: 8.8. Electrical Resistivity: 1.05e-07. Yield Strength: 95.0 MPa. Tensile Strength: 125.0 MPa. Youngs Modulus: 168.0 GPa. Hardness Vickers: 56.0. Poissons Ratio: 0.38.
Cobalt,Metal,Non-Ferrous,Material Name: Cobalt. Category: Metal. Subcategory: Non-Ferrous. Formula: Co. Density: 8.9 g/cm3. Melting Point: 1768.0 °C. Boiling Point: 3200.0. Thermal Conductivity: 100.0 W/m·K. Specific Heat: 421.0. Thermal Expansion: 13.0. Electrical Resistivity: 6.24e-08. Yield Strength: 276.0 MPa. Tensile Strength: 760.0 MPa. Youngs Modulus: 209.0 GPa. Hardness Vickers: 1043.0. Poissons Ratio: 0.31.
Tin,Metal,Non-Ferrous,Material Name: Tin. Category: Metal. Subcategory: Non-Ferrous. Formula: Sn. Density: 7.26 g/cm3. Melting Point: 505.0 °C. Boiling Point: 2875.0. Thermal Conductivity: 67.0 W/m·K. Specific Heat: 228.0. Thermal Expansion: 22.0. Electrical Resistivity: 1.15e-07. Yield Strength: 14.0 MPa. Tensile Strength: 23.0 MPa. Youngs Modulus: 50.0 GPa. Hardness Vickers: 5.0. Poissons Ratio: 0.36.
Vanadium,Metal,Refractory,Material Name: Vanadium. Category: Metal. Subcategory: Refractory. Formula: V. Density: 6.11 g/cm3. Melting Point: 2183.0 °C. Boiling Point: 3680.0. Thermal Conductivity: 31.0 W/m·K. Specific Heat: 489.0. Thermal Expansion: 8.4. Electrical Resistivity: 1.97e-07. Yield Strength: 220.0 MPa. Tensile Strength: 310.0 MPa. Youngs Modulus: 128.0 GPa. Hardness Vickers: 628.0. Poissons Ratio: 0.37.
Niobium,Metal,Refractory,Material Name: Niobium. Category: Metal. Subcategory: Refractory. Formula: Nb. Density: 8.57 g/cm3. Melting Point: 2750.0 °C. Boiling Point: 5017.0. Thermal Conductivity: 54.0 W/m·K. Specific Heat: 265.0. Thermal Expansion: 7.3. Electrical Resistivity: 1.52e-07. Yield Strength: 105.0 MPa. Tensile Strength: 275.0 MPa. Youngs Modulus: 105.0 GPa. Hardness Vickers: 132.0. Poissons Ratio: 0.4.
Tantalum,Metal,Refractory,Material Name: Tantalum. Category: Metal. Subcategory: Refractory. Formula: Ta. Density: 16.65 g/cm3. Melting Point: 3290.0 °C. Boiling Point: 5731.0. Thermal Conductivity: 57.0 W/m·K. Specific Heat: 140.0. Thermal Expansion: 6.3. Electrical Resistivity: 1.31e-07. Yield Strength: 170.0 MPa. Tensile Strength: 270.0 MPa. Youngs Modulus: 186.0 GPa. Hardness Vickers: 873.0. Poissons Ratio: 0.34.
Palladium,Metal,Precious,Material Name: Palladium. Category: Metal. Subcategory: Precious. Formula: Pd. Density: 12.02 g/cm3. Melting Point: 1828.0 °C. Boiling Point: 3236.0. Thermal Conductivity: 72.0 W/m·K. Specific Heat: 246.0. Thermal Expansion: 11.8. Electrical Resistivity: 1.08e-07. Yield Strength: 53.0 MPa. Tensile Strength: 180.0 MPa. Youngs Modulus: 121.0 GPa. Hardness Vickers: 37.0. Poissons Ratio: 0.39.
Beryllium,Metal,Non-Ferrous,Material Name: Beryllium. Category: Metal. Subcategory: Non-Ferrous. Formula: Be. Density: 1.85 g/cm3. Melting Point: 1560.0 °C. Boiling Point: 2742.0. Thermal Conductivity: 200.0 W/m·K. Specific Heat: 1825.0. Thermal Expansion: 11.3. Electrical Resistivity: 4e-08. Yield Strength: 240.0 MPa. Tensile Strength: 400.0 MPa. Youngs Modulus: 287.0 GPa. Hardness Vickers: 130.0. Poissons Ratio: 0.08. Processing Temp Min C: 1200.0. Processing Temp Max C: 1450.0. Fracture Toughness: 5.0.
Rhenium,Metal,Refractory,Material Name: Rhenium. Category: Metal. Subcategory: Refractory. Formula: Re. Density: 21.02 g/cm3. Melting Point: 3459.0 °C. Boiling Point: 5869.0. Thermal Conductivity: 48.0 W/m·K. Specific Heat: 138.0. Thermal Expansion: 6.7. Electrical Resistivity: 1.93e-07. Yield Strength: 290.0 MPa. Tensile Strength: 1170.0 MPa. Youngs Modulus: 463.0 GPa. Hardness Vickers: 2450.0. Poissons Ratio: 0.3.
